url;Pases;Pases_link;Idh;Rankin Gi Dh;Var
https://datosmacro.expansion.com/idh;Irlanda [+];https://datosmacro.expansion.com/idh/irlanda;0,938;4º;0
https://datosmacro.expansion.com/idh;Islandia [+];https://datosmacro.expansion.com/idh/islandia;0,935;6º;0
https://datosmacro.expansion.com/idh;Islas Marshall [+];https://datosmacro.expansion.com/idh/islas-marshall;0,708;106º;
https://datosmacro.expansion.com/idh;Islas Salomón [+];https://datosmacro.expansion.com/idh/islas-salomon;0,546;152º;1
https://datosmacro.expansion.com/idh;Israel [+];https://datosmacro.expansion.com/idh/israel;0,903;22º;0
https://datosmacro.expansion.com/idh;Italia [+];https://datosmacro.expansion.com/idh/italia;0,88;28º;0
https://datosmacro.expansion.com/idh;Jamaica [+];https://datosmacro.expansion.com/idh/jamaica;0,732;97º;1
https://datosmacro.expansion.com/idh;Japón [+];https://datosmacro.expansion.com/idh/japon;0,909;19º;0
https://datosmacro.expansion.com/idh;Jordania [+];https://datosmacro.expansion.com/idh/jordania;0,735;95º;1
https://datosmacro.expansion.com/idh;Kazajistán [+];https://datosmacro.expansion.com/idh/kazajistan;0,8;58º;-2
https://datosmacro.expansion.com/idh;Kenia [+];https://datosmacro.expansion.com/idh/kenia;0,59;142º;-1
https://datosmacro.expansion.com/idh;Kirguistán [+];https://datosmacro.expansion.com/idh/kirguistan;0,672;122º;1
https://datosmacro.expansion.com/idh;Kiribati [+];https://datosmacro.expansion.com/idh/kiribati;0,612;134º;0
https://datosmacro.expansion.com/idh;Kuwait [+];https://datosmacro.expansion.com/idh/kuwait;0,803;56º;1
https://datosmacro.expansion.com/idh;Laos [+];https://datosmacro.expansion.com/idh/laos;0,601;139º;2
https://datosmacro.expansion.com/idh;Lesoto [+];https://datosmacro.expansion.com/idh/lesoto;0,52;159º;0
https://datosmacro.expansion.com/idh;Letonia [+];https://datosmacro.expansion.com/idh/letonia;0,847;41º;-2
https://datosmacro.expansion.com/idh;Líbano [+];https://datosmacro.expansion.com/idh/libano;0,757;80º;-2
https://datosmacro.expansion.com/idh;Liberia [+];https://datosmacro.expansion.com/idh/liberia;0,435;181º;1
https://datosmacro.expansion.com/idh;Libia [+];https://datosmacro.expansion.com/idh/libia;0,706;108º;-6
https://datosmacro.expansion.com/idh;Liechtenstein [+];https://datosmacro.expansion.com/idh/liechtenstein;0,916;17º;1
https://datosmacro.expansion.com/idh;Lituania [+];https://datosmacro.expansion.com/idh/lituania;0,858;35º;-1
https://datosmacro.expansion.com/idh;Luxemburgo [+];https://datosmacro.expansion.com/idh/luxemburgo;0,904;21º;0
https://datosmacro.expansion.com/idh;Madagascar [+];https://datosmacro.expansion.com/idh/madagascar;0,519;161º;3
https://datosmacro.expansion.com/idh;Malasia [+];https://datosmacro.expansion.com/idh/malasia;0,802;57º;0
https://datosmacro.expansion.com/idh;Malaui [+];https://datosmacro.expansion.com/idh/malaui;0,477;171º;1
https://datosmacro.expansion.com/idh;Maldivas [+];https://datosmacro.expansion.com/idh/maldivas;0,717;101º;-1
https://datosmacro.expansion.com/idh;Malí [+];https://datosmacro.expansion.com/idh/mali;0,427;182º;1
https://datosmacro.expansion.com/idh;Malta [+];https://datosmacro.expansion.com/idh/malta;0,878;29º;0
https://datosmacro.expansion.com/idh;Marruecos [+];https://datosmacro.expansion.com/idh/marruecos;0,667;123º;1
https://datosmacro.expansion.com/idh;Mauricio [+];https://datosmacro.expansion.com/idh/mauricio;0,79;65º;1
https://datosmacro.expansion.com/idh;Mauritania [+];https://datosmacro.expansion.com/idh/mauritania;0,52;159º;0
https://datosmacro.expansion.com/idh;México [+];https://datosmacro.expansion.com/idh/mexico;0,774;74º;0
